ステーキ は 中位 で 焼 い て くださ い 。,10
彼女 の 美し さ に 関 し て は 、 疑 う 余地 が な い 。,17
この 近所 の 家 は どれ も とても よく 似 て い る の で 見分け が つ か な い 。,22
相撲 を 見 た こと が あ り ま す か 。,12
彼 は 、 その 川 を 泳 い で 渡 ろ う と し て 失敗 し た 。,19
こちら に 着 い たら すぐ 連絡 し て 下さ い 。,12
昼食 の 後 、 散歩 を する の は どう で す か 。,14
彼女 は 彼 を 見 た だけ で も いや だっ た 。,13
うわさ は 四方 八方 に 広が っ た 。,9
老人 は 過去 を 振り返 り がち で あ る 。,11
彼 は 自分 の 立場 を 私 に 説明 し た 。,12
駅 で 旧友 に 偶然 出会 っ た 。,9
犬 が 吠え る たび に 目 を 覚ま す な 。,12
来週 彼 は 手術 を 受け な けれ ば な ら な い 。,14
彼 ら は コンサート ホール の 最 前列 に 座 っ て オーケストラ を 聞 い た 。,18
丘 の 上 に １ 軒 の 家 が あ り ま す 。,14
あなた の 新し い 住所 を 教え て くださ い 。,11
外 は 身 を 切 る よう な 寒 さ だっ た 。,13
彼 は 趣味 が 高尚 で す 。,8
彼 は パーティー で パントマイム を や っ て みせ た 。,12
彼 は 新し い コンピューター を 買 っ た らし い 。,12
成功 する よう に 一生 懸命 働け 。,8
私 が 早 く 去 る の で 彼 ら は 残念 が っ た 。,16
利己 的 な 人 は 自分 の 感情 しか 考え な い 。,13
彼 に 警察 へ 行 く よう 忠告 し ま し た か 。,14
私 の 家 は あの 橋 の 向こう に あ る 。,12
テキスト は 初心 者 向き に でき て い る 。,11
それ は 私 の や る こと だ 。,9
彼 ら は 人工 衛星 を 軌道 に 乗せ る こと に 成功 し た 。,16
これ で は この 前 の 二の舞 だ ぞ 。,10
水車 小屋 は 皆 自分 の 水車 に 水 を 引 く 。,13
その 点 で は 君 に 賛成 でき な い 。,11
彼 は 私 に 危険 を 知 ら せ て くれ た 。,13
手紙 を 書 か な けれ ば な ら な い が 、 明日 まで は そこ まで 手 が 回 ら な い 。,25
リムジン を 使 う と い い で す よ 。,11
本 は いくら 読 ん で も 読 み すぎ る 事 は な い 。,16
水 は 生命 に 必要 不可欠 で す 。,9
彼 ら は １０ 時 まで に は 到着 する はず だ 。,13
今朝 は かなり 暑 い で す ね 。,9
彼 は 警察 に 自首 し た そう で す 。,11
彼 を からか う なんて 生意気 だ 。,8
彼 は 病気 の ため に 欠席 し た 。,10
私 は １ 羽 の 鳥 が 木 の 上 を 飛 ん で い る の を 見 た 。,21
遊び 相手 が な く て 孤独 だっ た 。,10
そんな こと で 言い争 っ て い る 時間 は な い 。,13
君 は ２ 才 の 時 に １０ まで 数え る 事 が でき た 。,16
日本 経済 は 連続 ６０ ヶ月 以上 の 拡大 を 記録 し た 。,14
その 物 が どう し て 作 ら れ た か だれ に も 説明 でき な かっ た 。,20
彼女 の 息子 の 戦死 の 知らせ に 彼女 は 気 が 狂 っ た 。,16
私 は 彼 が 来る か も しれ な い と 思 っ て い た 。,17
その 塔 の 高 さ は １００ メートル 以上 あ る 。,12
彼 ら は 投票 数 を 合計 し た 。,10
あなた は 毎日 どの くらい 英語 を 勉強 し ま す か 。,13
４０ マイル と い え ば かなり の 距離 だ 。,11
彼 は 心 から 彼女 を 迎え た 。,9
彼 は しばし 、 彼女 の 手 を 見つめ た 。,11
私 は その 件 に つ い て 彼 と 話し合 っ た 。,14
彼女 は 彼 の 無 作法 な ふるまい が 我慢 でき な かっ た 。,15
男 の 中 に は 定期 的 に 入浴 する の が 嫌い な 子 も い る 。,19
あの ご 婦人 は 誰 で す か 。,9
毎月 何 回 ぐらい 君 は 映画 へ 行 く か 。,12
日本 中 が 興奮 し て い る 。,9
爆発 の １０ 分 後 に 彼女 は 帰 っ て 来 た 。,14
すべて の 学生 が 出席 し た わけ で は な かっ た 。,14
私 は それ を でき な かっ た で しょ う 。,12
だれ が この 本 を 書 い た の で す か 。,13
きみ は 疲れ て い る よう だ 。,9
彼 の 乗 っ た 列車 は 今夕 ５ 時 に つく 。,13
一 週間 の 休み を と っ た 。,9
その 子供 たち は 、 よく 面倒 を み て もら っ た 。,14
もっと 丁寧 な 話 し 方 を す べ き だっ た の に 。,15
私 の 時計 は １ 日 に ５ 秒 進 み ま す 。,14
すべて の 職業 が 女性 に 開 か れ る べ き だ 、 と い う の は 今 や 完全 に 許容 さ れ て い る 考え 。,31
彼 は ５ 歳 の 時 から ここ に 住 ん で い る 。,15
君 が 我々 の 仲間 に な っ て くれ る と あて に し て い る ん だ 。,21
今日 は 登校 日 だ 。 遅刻 し な い よう に し な い と ・ ・ ・ 。,20
海上 で は 激し い 嵐 だっ た 。,9
彼 は 日曜日 に 農場 を 訪れ る つもり だ 。,11
彼 ら は アウトドア スポーツ に 熱心 だ 。,9
彼 が くる まで 私 は 行け ま せ ん 。,11
私 は 君 の 論理 に つ い て いけ な い 。,13
今晩 あなた は 何 を する つもり で す か 。,11
洗濯 機 の 使 い 方 を 教え て くださ い 。,12
私 たち は この まま や っ て い く より 仕方 が な い 。,16
彼 は ニューヨーク 行き の 貨物 列車 に 飛び 乗 っ た 。,13
部屋 を 出 る とき に は 、 必ず 電気 を 消 し て くださ い 。,17
ご 迷惑 を かけ て す み ま せ ん 。,11
彼 は 私 に 、 彼 の 父 を 知 っ て い る か と 尋ね た 。,19
彼 は とっつ き やす い 人 だ 。,9
遠く から 見 る と その 岩 は 人 の 顔 の よう に 見え た 。,17
彼 の 稿 模様 の スーツ と チェック の ネクタイ は 合 わ な かっ た 。,17
私 たち は 嵐 の ため に 遅れ た 。,10
すべて は 彼 の コンサート と さまざま な 活動 と ニュース を 含 ん で い た 。,18
彼 は よく 怒り を 顔 に 出 す 。,10
四国 は 台風 １０ 号 に 襲 わ れ た 。,11
あの カー デイラー は この 中古 の トヨタ が 調子 が い い など と 、 まんま と 一杯 く わ せ やが っ た 。,26
彼女 は どんな に 努力 し て も 、 彼 を 喜 ば せ る こと は でき な い だ ろ う 。,24
教養 の あ る 人 に よく あ る こと だ が 、 彼 は ジャズ より 古典 音楽 が 好き だ 。,23
右 の 道 を 行 っ て 下さ い 。,10
眠 く な い ん で す か 。,9
あなた は 自分 の 主義 に 従 っ て 行動 を と ら な けれ ば な ら な い 。,21
この 水 は 飲料 に 適 し て い る 。,11
診察 の 予約 を し た い の で す が 。,12
ここ から は よ い 眺め で す 。,9
私 は 彼 の 小説 の 多く を 翻訳 で 読 ん だ 。,14
多 民族 国家 で 言語 を 統一 する こと は 難し い 。,13
ケン が 使 っ て い る 机 は もう 古 い 。,13
夕食 後 散歩 に 出かけ る の は どう だ ろ う 。,13
彼 は 大逆 罪 で 島流し に さ れ た 。,11
工業 より も 金融 に 関心 の あ る 学生 の ほう が 多 い 。,16
なん と か 都合 を つけ て 、 次 の ミーティング に 出席 し て いただけ ま せ ん か 。,21
今度 は それ を 持ち上げ る 度胸 は とうてい な い で あ ろ う 。,16
ただ 会釈 を する だけ な の に 、 妙 に しゃちほこ 張 っ て しま う 。,18
この 本 は 私 が 読め る ほど 易し い 。,11
これ が 駅 まで の 一番 の 近道 だ 。,10
不幸 は あまり に も ひど く 、 読者 は 涙 を 抑え る こと が 出来 な かっ た 。,21
彼 は とても 才能 の あ る 人 で す 。,11
僕 が けち だ と い っ た こと を 取り消し なさ い 。,14
その ホテル は 設備 が よ い 。,8
エンジン は どこ か 故障 し て い る 。,10
再発 の 可能 性 が 少し あ り ま す 。,11
僕 は 特別 気持ち が い い 。,8
２ つ の 構文 の 間 に 意味 の 相違 は な い よう に 思 わ れ る 。,20
彼女 は ドア を そっと 押 し た 。,9
それ じゃまた 明日 。,4
ほど な く その 音 は 消え て い っ た 。,12
